"Portfolio","Alpha","Alpha_P_Value","Beta","Beta_P_Value","R_Squared"
"Portfolio 1",0.00233304601874001,0.0161870208739298,0.304165123896228,4.22582868838907e-09,0.13796134673016
"Portfolio 3",0.00259283051677888,0.0206178414504527,0.502243278872937,4.98468578709823e-16,0.24648487396273
"Portfolio 6",0.00209925401222361,0.0388978739904279,0.393128442262601,1.16968882602746e-12,0.195353586231037
"Portfolio 8",0.00253812720142266,0.0183244244594077,0.37741833310518,7.27483401216698e-11,0.166854453982295
"Portfolio 9",0.00287430535836709,0.00499073215268025,0.641973067447359,6.16325029483418e-27,0.391442063313698
"Portfolio 12",0.00246266616043109,0.0140043302807333,0.798002438202058,9.29312755103959e-38,0.508085845674785
"Portfolio 13",0.00217144873754741,0.0316263745204323,0.513382208064722,1.82246018384364e-19,0.295440646014802
"Portfolio 19",0.00272456063949747,0.0186516162349973,0.615288555173948,6.94339774292436e-21,0.314746238593257
"Portfolio 20",0.00261511594591252,0.0173760134265166,0.734965645606957,1.75104293722258e-29,0.421135439818717
"Portfolio 22",0.00207285522191593,0.0388968389816356,0.496012472408884,1.23933902774727e-18,0.283870763213037
"Portfolio 23",0.0024624080329784,0.0324932554611226,0.706883876429916,5.86693022703655e-26,0.379636722514973
"Portfolio 24",0.00344366649568438,0.0122359534876726,0.591984666097301,4.6087773681424e-15,0.232151682850988
"Portfolio 25",0.00231058140841954,0.0126122812866549,0.506545794819527,7.356549170225e-22,0.327710189653896
"Portfolio 26",0.00212728929796273,0.0437341334640335,0.599451965259236,4.28339208038589e-23,0.343788633607334
"Portfolio 30",0.00116013782493899,0.0317749420698326,0.117489850594152,3.35585375966594e-05,0.0713264820600767
"Portfolio 31",0.0016716018479096,0.0281709901114713,0.20759257010159,2.63291509647377e-07,0.107727483661843
"Portfolio 37",0.0023300298898082,0.0256108882994988,1.07304067728595,1.71391472881982e-52,0.632026479348395
"Portfolio 39",0.00624068559431081,0.00144400236466809,2.53875112301396,5.80968700714519e-69,0.734098872950056
"Portfolio 40",0.00110243985815948,0.00895597284398686,0.420564404898164,1.09373591362534e-50,0.618696953923656
"Portfolio 41",0.00157748201569062,0.00148847109816059,0.498708847921286,2.28763872893005e-51,0.623770834379985
"Portfolio 42",0.00192380799346712,0.000960212759289392,0.588600120172192,8.57169189686554e-52,0.626919704441861
"Portfolio 43",0.00181332127018452,0.0083209470502704,0.658714413458183,2.93028774721676e-48,0.600004538646343
"Portfolio 44",0.00201549075304557,0.0116843370248324,0.903947551957022,6.32254423360519e-59,0.675869239274111
"Portfolio 45",0.00207588691239828,0.0294656700830505,0.891002355173666,1.39066295912491e-46,0.586569615580272
"Portfolio 47",0.00267744446502548,0.0386588523547916,0.779630308233384,3.29477758179382e-25,0.370444323090089
"Portfolio 53",0.00187481480951025,0.0462845045978668,0.96442987708368,3.01155725441452e-52,0.630246167423981
"Portfolio 54",0.00432889119995924,0.000222911276600058,1.80833483720685,9.16012723827245e-83,0.797512301465752
